ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-73.9729,-31.1303,1,2016090,0,0,0,0,0
-73.9729,-31.1303,1,2016091,0,0,0,0,0
-74.0359,-31.1791,1,2016092,0,0,0,0,0
-74.0212,-31.2617,1,2016093,0,0,0,0,0
-74.0553,-31.3449,1,2016094,0,0,0,0,0
-74.0553,-31.3449,1,2016095,0,0,0,0,0
-74.0553,-31.3449,0,2016096,0,0,0,0,0
-74.0553,-31.3449,1,2016097,0,0,0,0,0
-74.0553,-31.3449,1,2016098,0,0,0,0,0
-74.0553,-31.3449,1,2016099,0,0,0,0,0
-74.0553,-31.3449,1,2016100,0,0,0,0,0
-74.0553,-31.3449,1,2016101,0,0,0,0,0
-74.0553,-31.3449,1,2016102,0,0,0,0,0
-73.9175,-31.938,1,2016103,0,0,0,0,0
-73.9175,-31.938,1,2016104,0,0,0,0,0
-73.9175,-31.938,1,2016105,0,0,0,0,0
-73.9175,-31.938,1,2016106,0,0,0,0,0
-73.9175,-31.938,1,2016107,0,0,0,0,0
-73.9175,-31.938,1,2016108,0,0,0,0,0
-73.9175,-31.938,1,2016109,0,0,0,0,0
-74.0053,-32.1346,1,2016110,0,0,0,0,0
-74.0053,-32.1346,1,2016111,0,0,0,0,0
-74.0607,-32.22,1,2016112,0,0,0,0,0
-74.1121,-32.3384,1,2016113,0,0,0,0,0
-74.1163,-32.5145,1,2016114,0,0,0,0,0
-74.1527,-32.6494,1,2016115,0,0,0,0,0
-74.1797,-32.8075,0,2016116,0,0,0,0,0
-74.1932,-32.9003,1,2016117,0,0,0,0,0
-74.1932,-32.9003,1,2016118,0,0,0,0,0
-74.1932,-32.9003,1,2016119,0,0,0,0,0
-74.1787,-33.042,1,2016120,0,0,0,0,0
-74.1354,-33.2159,1,2016121,0,0,0,0,0
-74.1354,-33.2159,1,2016122,0,0,0,0,0
-74.1762,-33.2623,1,2016123,0,0,0,0,0
-74.1727,-33.4823,1,2016124,0,0,0,0,0
-74.2028,-33.6564,1,2016125,0,0,0,0,0
-74.1716,-33.8857,1,2016126,0,0,0,0,0
-74.1673,-33.9763,1,2016127,0,0,0,0,0
-74.1604,-34.2147,1,2016128,0,0,0,0,0
-74.1613,-34.4721,1,2016129,0,0,0,0,0
-74.1744,-34.5303,1,2016130,0,0,0,0,0
-74.1903,-34.7767,1,2016131,0,0,0,0,0
-74.1863,-34.9204,1,2016132,0,0,0,0,0
-74.2269,-35.2326,1,2016133,0,0,0,0,0
-74.2236,-35.4183,0,2016134,0,0,0,0,0
-74.2174,-35.5591,0,2016135,0,0,0,0,0
-74.2141,-35.615,1,2016136,0,0,0,0,0
-74.2141,-35.615,1,2016137,0,0,0,0,0
-74.2141,-35.615,1,2016138,0,0,0,0,0
-74.2132,-35.8733,1,2016139,0,0,0,0,0
-74.2689,-36.1006,1,2016140,0,0,0,0,0
-74.1918,-36.2875,1,2016141,0,0,0,0,0
